Abbreviation	Name	Reaction	Reactions with MetNames	GPR	Genes	Protein	Subsystems	KEGGSubsys	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC. Number	Notes	References
rxn10158	fumarate transport in via proton symport (3 h+)	3 cpd00067[e] + cpd00106[e]  <=> 3 cpd00067[c] + cpd00106[c] 	3 H+ + Fumarate  <=> 3 H+ + Fumarate 	((PA0886 and PA0884 and PA0885) or (PA5169 and PA5167 and PA5168))	PA0886 PA0884 PA0885 PA5169 PA5167 PA5168			Transport	1	-1000	1000	0				
rxn05561	fumarate transport in/out via proton symport	cpd00067[e] + cpd00106[e]  <=> cpd00067[c] + cpd00106[c] 	H+ + Fumarate  <=> H+ + Fumarate 	(PA1183 or PA0119)	PA1183 PA0119		Transport Extracellular	Transport	1	-1000	1000	0		TC-2.A.56,2.A.56	*JAB 01/13/14 - checked, not sure of GPR (dctA?), but leaving for now	
rxn13834	glucose 1-dehydrogenase (NADP) extracellular	cpd00006[c] + cpd00027[e]  <=> cpd00067[c] + cpd00005[c] + cpd00170[e] 	NADP + D-Glucose  <=> H+ + NADPH + Gluconolactone 	PA2290	PA2290		Pentose Phosphate Cycle	Pentose phosphate pathway	0	0	0	0			*JAB 04/05/14 - PA2290 is gcd, a quinoprotein-specific glucose dehydrogenase; *JAB added subsystem	
rxn03638	glucosamine-1-phosphate N-acetyltransferase	cpd00022[c] + cpd03671[c]  -> cpd00067[c] + cpd00010[c] + cpd02611[c] 	Acetyl-CoA + D-Glucosamine1-phosphate  -> H+ + CoA + N-Acetyl-D-glucosamine1-phosphate 	PA5552	PA5552		Cell Envelope Biosynthesis	Amino sugar and nucleotide sugar metabolism	0	0	1000	0		2.3.1.157,2.3.1.4	*JAB 02/18/14 - Metacyc confirms that UDP-N-acetyl-D-glucosamine is essential to peptidoglycan and LPS in E. coli, essentiality is likely due to biomass formulation (and function is important even though gene is not indicated essential?), unsure of other pathways to formation of UDP acetylglucosamine	
rxn01675	glucose-1-phosphate thymidylyltransferase	cpd00089[c] + cpd00357[c]  <=> cpd00012[c] + cpd00626[c] 	Glucose-1-phosphate + TTP  <=> PPi + dTDPglucose 	PA5163	PA5163		Cell Envelope Biosynthesis- O-antigen	Metabolism of terpenoids and polyketides	1	-1000	1000	0		2.7.7.24,2.7.7.33		
rxn01629	glutamate-1-semialdehyde aminotransferase	cpd00338[c]  <=> cpd02345[c] 	5-Aminolevulinate  <=> L-Glutamate1-semialdehyde 	((PA4088 or PA5523) or PA3977)	PA4088 PA5523 PA3977		Tetrapyrrole Biosynthesis	Porphyrin and chlorophyll metabolism	1	-1000	1000	0		5.4.3.8		
rxn00612	glycerol-3-phosphate dehydrogenase (NADP)	cpd00080[c] + cpd00006[c]  <=> cpd00067[c] + cpd00005[c] + cpd00095[c] 	Glycerol-3-phosphate + NADP  <=> H+ + NADPH + Glycerone-phosphate 	PA1614	PA1614		Alternate Carbon Metabolism	Glycerophospholipid metabolism	1	-1000	1000	0		1.1.1.261,1.1.1.94		
rxn08556	glycerol-3-phosphate dehydrogenase (ubiquinone-8)	cpd00080[c] + cpd15560[c] => cpd00095[c] + cpd15561[c]	GLYC-3-P + Ubiquinone-8 => Glycerone phosphate + Ubiquinol-8	(PA3025 or PA3584)	PA3025 PA3584		Oxidative phosphorylation	Oxidative phosphorylation	0	0	1000	0		1.1.5.3	*JAB 04/16/14 - fixed ub8 ref, changed reaction direction based on MetaCyc	
rxn02374	L-glutamate 5-semialdehyde dehydratase (spontaneous)	cpd00858[c]  -> cpd00001[c] + cpd00067[c] + cpd02431[c] 	L-Glutamate5-semialdehyde  -> H2O + H+ + 1-Pyrroline-5-carboxylate 		 		Exchange	None	0	0	1000	0		Undetermined		
rxn02373	glutamate-5-semialdehyde dehydrogenase	cpd00005[c] + cpd02097[c] -> cpd00006[c] + cpd00009[c] + cpd00858[c]	NADPH + L-Glutamyl 5-phosphate -> NADP + Phosphate + L-Glutamate5-semialdehyde	PA4007	PA4007		Proline Biosynthesis	Urea cycle and metabolism of amino groups	0	0	1000	0		1.2.1.41	*JAB 04/28/14 - rewrote reaction directionality, function is the same	
rxn00604	glucose 6-phosphate dehydrogenase	cpd00006[c] + cpd00079[c]  <=> cpd00067[c] + cpd00005[c] + cpd00911[c] 	NADP + D-glucose-6-phosphate  <=> H+ + NADPH + 6-phospho-D-glucono-1-5-lactone 	(PA3183 or PA5439)	PA3183 PA5439		Pentose Phosphate Cycle	Pyruvate metabolism	1	-1000	1000	0		1.1.1.49		
rxn01977	Glucose-6-phosphate isomerase	cpd00079[c]  <=> cpd00863[c] 	D-glucose-6-phosphate  <=> beta-D-Glucose 6-phosphate 	PA4732	PA4732		Glycolysis/Gluconeogenesis	Pentose phosphate pathway	1	-1000	1000	0		5.1.3.15,5.3.1.9		
rxn02380	Glucose-6-phosphate isomerase	cpd00863[c]  <=> cpd00072[c] 	beta-D-Glucose 6-phosphate  <=> D-fructose-6-phosphate 	PA4732	PA4732		Glycolysis/Gluconeogenesis	Glycolysis / Gluconeogenesis	1	-1000	1000	0		5.3.1.9		
rxn00781	glyceraldehyde-3-phosphate dehydrogenase (NAD)	cpd00003[c] + cpd00009[c] + cpd00102[c]  <=> cpd00004[c] + cpd00203[c] 	NAD + Phosphate + Glyceraldehyde3-phosphate  <=> NADH + 1,3-Bisphospho-D-glycerate 	PA3195	PA3195		Glycolysis/Gluconeogenesis	Glycolysis / Gluconeogenesis	1	-1000	1000	0		1.2.1.12,1.2.1.13,1.2.1.59		
rxn00779	glyceraldehyde-3-phosphate dehydrogenase (NADP)	cpd00001[c] + cpd00006[c] + cpd00102[c]  -> 2 cpd00067[c] + cpd00005[c] + cpd00169[c] 	H2O + NADP + Glyceraldehyde3-phosphate  -> 2 H+ + NADPH + 3-Phosphoglycerate 	(PA2323 or PA3001)	PA2323 PA3001			Glycolysis / Gluconeogenesis	0	0	1000	0		1.2.1.13, 1.2.1.59		
rxn03004	phosphoribosylglycinamide formyltransferase, irreversible	cpd00201[c] + cpd02394[c]  <=> cpd00067[c] + cpd00087[c] + cpd02678[c] 	10-Formyltetrahydrofolate + GAR  <=> H+ + Tetrahydrofolate + N-Formyl-GAR 	(PA0944 or PA3751)	PA0944 PA3751		Purine and Pyrimidine Biosynthesis	Purine metabolism	1	0	1000	0		2.1.2.2	* JCT gene PA0836 has been deleted from this reaction. The reaction is turned irreversible: The reverse reaction is accounted for by rxn00691	
rxn04783	Phosphoribosylglycinamide formyltransferase 2	cpd00002[c] + cpd00047[c] + cpd02394[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd02678[c] 	ATP + Formate + GAR  -> H+ + ADP + Phosphate + N-Formyl-GAR 	PA3751	PA3751			Purine metabolism	0	0	1000	0		2.1.2.-,Undetermined	* JCT gene PA0836 has been deleted from this reaction	
rxn05570	gamma-butyrobetaine transport in via ABC system	cpd00001[c] + cpd00002[c] + cpd00870[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00870[c] 	H2O + ATP + gamma-butyrobetaine  -> H+ + ADP + Phosphate + gamma-butyrobetaine 	(((PA3891 or PA5376) and (PA3890 or PA5377) and (PA5378 or PA3889)) or ((PA3891 or PA5376) and (PA3890 or PA5377) and (PA5378 or PA3889) and PA3888))	PA3891 PA5376 PA3890 PA5377 PA5378 PA3889 PA3891 PA5376 PA3890 PA5377 PA5378 PA3889 PA3888			Transport	0	0	1000	0				
rxn09680	Glycoaldehydye reversible transport	cpd00229[e]  <=> cpd00229[c] 	Glycolaldehyde  <=> Glycolaldehyde 		 		Exchange	Transport	1	-1000	1000	0				
rxn00242	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	cpd00001[c] + cpd00905[c]  -> cpd00012[c] + cpd00031[c] 	H2O + Guanosine 3',5'-bis(diphosphate)  -> PPi + GDP 	PA5338	PA5338			Purine metabolism	0	0	1000	0		3.1.7.2		
rxn00642	GDPmannose 4,6-dehydratase	cpd00083[c]  -> cpd00001[c] + cpd00900[c] 	GDP-mannose  -> H2O + GDP-4-dehydro-D-rhamnose 	PA5453	PA5453		Cell Envelope Biosynthesis- O-antigen	Fructose and mannose metabolism	0	0	1000	0		4.2.1.47		
rxn02440	GDP-4-dehydro-6-deoxy-D-mannose reductase	cpd00006[c] + cpd01999[c]  <=> cpd00067[c] + cpd00005[c] + cpd00900[c] 	NADP + GDP-D-rhamnose  <=> H+ + NADPH + GDP-4-dehydro-D-rhamnose 	PA5454	PA5454		Cell Envelope Biosynthesis- O-antigen	Fructose and mannose metabolism	1	-1000	1000	0		1.1.1.135, 1.1.1.187, 1.1.1.271, 1.1.1.281, 2.6.1.102, 4.2.1.47		
rxn00555	glutamine-fructose-6-phosphate transaminase	cpd00053[c] + cpd00072[c]  <=> cpd00023[c] + cpd00288[c] 	L-Glutamine + D-fructose-6-phosphate  <=> L-Glutamate + D-Glucosamine phosphate 	PA5549	PA5549		Cell Envelope Biosynthesis	Glutamate metabolism	1	-1000	1000	0		2.6.1.16		
rxn00692	glycine hydroxymethyltransferase	cpd00001[c] + cpd00033[c] + cpd00125[c]  <=> cpd00087[c] + cpd00054[c] 	H2O + Glycine + 5-10-Methylenetetrahydrofolate  <=> Tetrahydrofolate + L-Serine 	(PA5415 or PA2444 or PA4602)	PA5415 PA2444 PA4602			Glycine, serine and threonine metabolism	1	-1000	1000	0		2.1.2.1		
rxn00239	guanylate kinase (GMP:ATP)	cpd00002[c] + cpd00126[c]  <=> cpd00008[c] + cpd00031[c] 	ATP + GMP  <=> ADP + GDP 	PA5336	PA5336		Salvage Pathways	Purine metabolism	1	-1000	1000	0		2.7.4.8		
rxn13836	Gluconolactonase	cpd00001[c] + cpd00170[e]  <=> cpd00067[c] + cpd00222[e] 	H2O + Gluconolactone  <=> H+ + GLCN 	(PA4204 or PA1293)	PA4204 PA1293		Central Metabolism	Pentose phosphate pathway	1	-1000	1000	0			*JAB 04/05/14 - This reaction is not shown to exist in KEGG, but matters to gluconate/2-ketogluconate accumulation. PA1293 and PA1740 (orig genes from older models) are both hypothetical proteins; new gene periplasmic PA4204 shows gluconolactonase activity (Tarighi et al. 2008). PA1293 shows moderate similarity to Marinobacter gluconolactonase (58% I, 7e-145), PA1740 shows little similarity to anything but other hypothetical proteins, so removing from GPR;*ASB 03/26/14 - tentative subsystem assignment	
rxn08040	GlcNac-pyrophosphorylundecaprenol synthesis	cpd00286[c] + cpd00037[c]  <=> cpd00091[c] + cpd00946[c] 	Undecaprenylphosphate + UDP-N-acetylglucosamine  <=> UMP + Undecaprenyl diphospho N-acetyl-glucosamine 	PA3145	PA3145		Cell Envelope Biosynthesis- O-antigen	None	1	-1000	1000	0		Undetermined		
rxn05571	D-gluconate transport via proton symport	cpd00222[e] + cpd00067[e]  <=> cpd00067[c] + cpd00222[c] 	GLCN + H+  <=> H+ + GLCN 	PA2322	PA2322			Transport	1	-1000	1000	0				
rxn13299	glycogen phosphorylase	cpd00009[c] + cpd00155[c]  -> cpd00089[c] 	Phosphate + Glycogen  -> Glucose-1-phosphate 	PA2144	PA2144		Glycolysis/Gluconeogenesis	Starch and sucrose metabolism	0	0	1000	0			*ASB 03/26/14 - tentative subsystem assignment; JAB 01/31/14 - MetaCyc supports glycogen degradation, changed bounds	
rxn13643	glycogen synthase (ADPGlc)	cpd00387[c]  -> cpd00067[c] + cpd00008[c] + cpd00155[c] 	ADPglucose  -> H+ + ADP + Glycogen 	PA2165	PA2165		Glycolysis/Gluconeogenesis	Starch and sucrose metabolism	0	0	1000	0			*ASB 03/26/14 - tentative subsystem assignment; JAB 02/18/14 - predicted essential but not essential IV, because glycogen is not absolutely essential, just important to cell function (why it's been included in biomass). Mutants for this gene exist.	
rxn05147	D-glucose transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00027[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00027[c] 	H2O + ATP + D-Glucose  -> H+ + ADP + Phosphate + D-Glucose 	(PA3190 and PA3189 and PA3188 and PA3187)	PA3190 PA3189 PA3188 PA3187			Transport	0	0	1000	0			*JAB 04/08/14 - glucose PTS system is missing, so glucose goes straight to glucokinase instead of being presented as glucose 1 phosphate, model says is more efficient than entner-doudoroff pathway	
rxn00695	glucose-1-phosphate adenylyltransferase	cpd00002[c] + cpd00089[c]  <=> cpd00012[c] + cpd00387[c] 	ATP + Glucose-1-phosphate  <=> PPi + ADPglucose 		 		Exchange	Starch and sucrose metabolism	1	-1000	1000	0		2.7.7.27		
rxn00187	glutamine synthetase	cpd00013[c] + cpd00023[c] + cpd00002[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00053[c] 	NH3 + L-Glutamate + ATP  -> H+ + ADP + Phosphate + L-Glutamine 	((PA3356 or PA0296 or PA2040 or PA5522 or PA5508) or PA0298 or PA5119)	PA3356 PA0296 PA2040 PA5522 PA5508 PA0298 PA5119			Glutamate metabolism	0	0	1000	0		6.3.1.2		
rxn05155	L-glutamate transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00053[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00053[c] 	H2O + ATP + L-Glutamine  -> H+ + ADP + Phosphate + L-Glutamine 	((PA1339 and PA1340 and PA1341 and PA1342) or (PA4192 and PA4193 and PA4194 and PA4195) or (PA5074 and PA5075 and PA5076))	PA1339 PA1340 PA1341 PA1342 PA4192 PA4193 PA4194 PA4195 PA5074 PA5075 PA5076		Transport Extracellular	Transport	0	0	1000	0		3.A.1.3	*JAB 01/13/14 - added genes from Burk rxns, removed generic AA transporter	
rxn01802	glutaryl-CoA dehydrogenase	cpd00067[c] + cpd00015[c] + cpd00413[c]  <=> cpd00011[c] + cpd00650[c] + cpd00982[c] 	H+ + FAD + Glutaryl-CoA  <=> CO2 + Crotonyl-CoA + FADH2 	PA0447	PA0447			Fatty acid degradation	1	-1000	1000	0		1.3.8.6		
rxn05672	D-glutamate transport in via proton symport	cpd00067[e] + cpd00186[e]  <=> cpd00067[c] + cpd00186[c] 	H+ + D-Glutamate  <=> H+ + D-Glutamate 	PA3176	PA3176			Transport	1	-1000	1000	0				
rxn00179	glutamate 5-kinase	cpd00067[c] + cpd00023[c] + cpd00002[c]  <=> cpd00008[c] + cpd02097[c] 	H+ + L-Glutamate + ATP  <=> ADP + L-Glutamyl 5-phosphate 	PA4565	PA4565		Proline Biosynthesis	Urea cycle and metabolism of amino groups	1	-1000	1000	0		2.7.2.11		
rxn00646	glutamate-cysteine ligase	cpd00023[c] + cpd00002[c] + cpd00084[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00506[c] 	L-Glutamate + ATP + L-Cysteine  -> H+ + ADP + Phosphate + gamma-Glutamylcysteine 	PA5203	PA5203		Glutathione Biosynthesis	Glutathione metabolism	0	0	1000	0		6.3.2.2		
rxn00184	glutamate dehydrogenase (NADP)	cpd00001[c] + cpd00023[c] + cpd00006[c]  <=> cpd00013[c] + cpd00067[c] + cpd00024[c] + cpd00005[c] 	H2O + L-Glutamate + NADP  <=> NH3 + H+ + 2-Oxoglutarate + NADPH 	PA4588	PA4588		Glutamate and Glutamine Biosynthesis	Nitrogen metabolism	1	-1000	1000	0		1.4.1.3, 1.4.1.4, 1.4.1.13		
rxn09502	Glucokinase	cpd00002[c] + cpd00027[c]  -> cpd00008[c] + cpd00863[c] 	ATP + D-Glucose  -> ADP + beta-D-Glucose 6-phosphate 	PA3193	PA3193		Glycolysis/Gluconeogenesis	Glycolysis / Gluconeogenesis	0	0	1000	0		2.7.1.1, 2.7.1.2	* JCT 02/17/14 I suggest that this reaction is irreversible	
rxn00189	glutaminase	cpd00001[c] + cpd00053[c]  -> cpd00013[c] + cpd00023[c] 	H2O + L-Glutamine  -> NH3 + L-Glutamate 	PA1638	PA1638			D-Glutamine and D-glutamate metabolism	0	0	1000	0		3.5.1.2,3.5.1.38,6.3.5.5		
rxn00790	glutamine phosphoribosyldiphosphate amidotransferase	cpd00001[c] + cpd00053[c] + cpd00103[c] -> cpd00023[c] + cpd00012[c] + cpd01982[c]	H2O + L-Glutamine + PRPP -> L-Glutamate + PPi + 5-Phosphoribosylamine	PA3108	PA3108		Purine and Pyrimidine Biosynthesis	Glutamate metabolism	0	0	1000	0		2.4.2.14	*JAB 01/31/14 - swapped direction chemical reaction was written, functionality stays same as in SEED	
rxn00193	glutamate racemase	cpd00023[c]  <=> cpd00186[c] 	L-Glutamate  <=> D-Glutamate 	PA4662	PA4662		Cell Envelope Biosynthesis	D-Glutamine and D-glutamate metabolism	1	-1000	1000	0		5.1.1.3		
rxn01729	glutarate-semialdehyde dehydrogenase	cpd00001[c] + cpd00003[c] + cpd02089[c]  -> cpd00004[c] + 2 cpd00067[c] + cpd00379[c] 	H2O + NAD + 5-Oxopentanoate  -> NADH + 2 H+ + Glutarate 		 		Exchange	Lysine degradation	0	0	1000	0		1.2.1.20		
rxn00085	glutamate synthase (NADPH)	2 cpd00023[c] + cpd00006[c]  <=> cpd00067[c] + cpd00024[c] + cpd00005[c] + cpd00053[c] 	2 L-Glutamate + NADP  <=> H+ + 2-Oxoglutarate + NADPH + L-Glutamine 	(PA5036 and PA5035)	PA5036 PA5035		Glutamate and Glutamine Biosynthesis	Glutamate metabolism	1	-1000	1000	0		1.4.1.13,1.4.1.14		
rxn13837	glutarate transport via h+ symport	cpd00067[e] + cpd00379[e]  <=> cpd00067[c] + cpd00379[c] 	H+ + Glutarate  <=> H+ + Glutarate 		 		Exchange	Transport	1	-1000	1000	0				
rxn01730	glutaryl-coa synthetase	cpd00010[c] + cpd00002[c] + cpd00379[c]  <=> cpd00008[c] + cpd00009[c] + cpd00413[c] 	CoA + ATP + Glutarate  <=> ADP + Phosphate + Glutaryl-CoA 		 		Exchange	Lysine degradation	1	-1000	1000	0		6.2.1.6		
rxn06591	glutamyl-tRNA reductase	cpd00067[c] + cpd00005[c] + cpd12227[c]  <=> cpd00006[c] + cpd02345[c] + cpd11912[c] 	H+ + NADPH + L-Glutamyl-tRNA-Glu  <=> NADP + L-Glutamate1-semialdehyde + tRNA-Glu 	PA4666	PA4666		Tetrapyrrole Biosynthesis	Porphyrin and chlorophyll metabolism	1	-1000	1000	0		1.2.1.70		
rxn06937	Glutamyl-tRNA synthetase	cpd00067[c] + cpd00023[c] + cpd00002[c] + cpd11912[c]  -> cpd00012[c] + cpd00018[c] + cpd12227[c] 	H+ + L-Glutamate + ATP + tRNA-Glu  -> PPi + AMP + L-Glutamyl-tRNA-Glu 	PA3134	PA3134		Tetrapyrrole Biosynthesis	Glutamate metabolism	0	0	1000	0		6.1.1.17,6.1.1.24	*JAB 02/19/14 - removed PA4724 as PA3134 is annotated and essential, PA4724 is low similarity (2e-26) and may have slightly different function	
rxn05297	L-glutamate transport in via proton symport	cpd00067[e] + cpd00023[e]  <=> cpd00067[c] + cpd00023[c] 	H+ + L-Glutamate  <=> H+ + L-Glutamate 	PA5479 or PA3176	PA5479 PA3176			Transport	1	-1000	1000	0			*JAB 01/13/14 - merged with Burk-equivalent GPR	
rxn05298	Na+/glutamate symport	cpd00971[e] + cpd00023[e]  <=> cpd00023[c] + cpd00971[c] 	Na+ + L-Glutamate  <=> L-Glutamate + Na+ 	PA3176	PA3176		Transport Extracellular	Transport	1	-1000	1000	0				
rxn00010	glyoxalate carboligase	cpd00067[c] + 2 cpd00040[c]  -> cpd00011[c] + cpd00843[c] 	H+ + 2 Glyoxalate  -> CO2 + Tartronate semialdehyde 	PA1502	PA1502			Glyoxylate and dicarboxylate metabolism	0	0	1000	0		4.1.1.47		
rxn02028	glycine betaine transmethylase	cpd00135[c] + cpd00540[c]  -> cpd00060[c] + cpd00756[c] 	Homocysteine + BET  -> L-Methionine + Dimethylglycine 	PA3082	PA3082			Glycine, serine and threonine metabolism	0	0	1000	0		2.1.1.5		
rxn05181	glycine betaine transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00540[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00540[c] 	H2O + ATP + BET  -> H+ + ADP + Phosphate + BET 	((PA5096 and PA5095 and PA5094) or (PA3891 and PA3890 and PA3889 and PA3888) or (PA5376 and PA5377 and PA5378))	PA5096 PA5095 PA5094 PA3891 PA3890 PA3889 PA3888 PA5376 PA5377 PA5378			Transport	0	0	1000	0		3.A.1.12	*JAB 01/13/14 - added transporter from Burk	
rxn10165	Glycerol-3-phosphate : phosphate antiporter	cpd00009[c] + cpd00080[e]  <=> cpd00080[c] + cpd00009[e] 	Phosphate + Glycerol-3-phosphate  <=> Glycerol-3-phosphate + Phosphate 	PA5235	PA5235		Transport Extracellular	Transport	1	-1000	1000	0				
rxn01102	glycerate kinase	cpd00002[c] + cpd00223[c]  <=> cpd00008[c] + cpd00169[c] 	ATP + Glycerate  <=> ADP + 3-Phosphoglycerate 	PA1052	PA1052			Glycerolipid metabolism	1	-1000	1000	0		2.7.1.31		
rxn05581	glycerol transport in/out via diffusion reversible	cpd00100[c]  <=> cpd00100[e] 	Glycerol  <=> Glycerol 	PA3581	PA3581		Exchange	Transport	1	-1000	1000	0		Undetermined	*JAB 01/13/14 - added Burk-equivalent gene (initially left with no gene association)	
rxn01011	glycerate dehydrogenase	cpd00003[c] + cpd00223[c]  <=> cpd00004[c] + cpd00067[c] + cpd00145[c] 	NAD + Glycerate  <=> NADH + H+ + Hydroxypyruvate 	PA4626	PA4626			Glycine, serine and threonine metabolism	1	-1000	1000	0		1.1.1.26, 1.1.1.29, 1.1.1.81		
rxn00615	glycerol kinase	cpd00002[c] + cpd00100[c]  <=> cpd00080[c] + cpd00008[c] 	ATP + Glycerol  <=> Glycerol-3-phosphate + ADP 	(PA3582 or (PA3579 or PA1487))	PA3582 PA3579 PA1487		Alternate Carbon Metabolism	Glycerolipid metabolism	1	-1000	1000	0		2.7.1.30		
rxn00269	glycine oxidase	cpd00001[c] + cpd00007[c] + cpd00033[c]  -> cpd00013[c] + cpd00025[c] + cpd00040[c] 	H2O + O2 + Glycine  -> NH3 + H2O2 + Glyoxalate 	(PA1267 or PA1567 or PA5145 or PA2776 or PA0534 or PA1489 or PA1918 or PA3456 or PA5309 or PA4548 or PA1028 or PA1565 or PA3424 or PA3863 or PA2195)	PA1267 PA1567 PA5145 PA2776 PA0534 PA1489 PA1918 PA3456 PA5309 PA4548 PA1028 PA1565 PA3424 PA3863 PA2195			Glycine, serine and threonine metabolism	0	0	1000	0		1.4.3.3,1.4.3.19		
rxn04093	glycine oxidase, sarcosine	cpd00001[c] + cpd00007[c] + cpd00183[c]  -> cpd00025[c] + cpd00040[c] + cpd00187[c] 	H2O + O2 + Sarcosine  -> H2O2 + Glyoxalate + Methanamine 	(PA1028 or PA1489 or PA1918 or PA3863 or PA4548 or PA1565 or PA3424 or PA5145 or PA2776 or PA0534 or PA1267 or PA1567 or PA3456 or PA5309 or PA2195)	PA1028 PA1489 PA1918 PA3863 PA4548 PA1565 PA3424 PA5145 PA2776 PA0534 PA1267 PA1567 PA3456 PA5309 PA2195				0	0	1000	0		1.4.3.19		
rxn10537	probable AGCS sodium/alanine/glycine symporter	cpd00971[e] + cpd00033[e]  <=> cpd00971[c] + cpd00033[c] 	Na+ + Glycine  <=> Na+ + Glycine 	PA2252	PA2252			Transport	1	-1000	1000	0				
rxn03916	D-glycero-D-manno-hepose 1-phosphate adenyltransferase	cpd00002[c] + cpd04920[c]  <=> cpd00012[c] + cpd03830[c] 	ATP + D-Glycero-D-manno-heptose1-phosphate  <=> PPi + ADP-D-glycero-D-manno-heptose 	PA4996	PA4996		Cell Envelope Biosynthesis	Lipopolysaccharide biosynthesis	1	-1000	1000	0		2.7.-.-,2.7.7.-		
rxn03918	D-glycero-D-manno-heptose 7-phosphate kinase	cpd00002[c] + cpd04918[c]  <=> cpd00008[c] + cpd08316[c] 	ATP + D-Glycero-D-manno-heptose7-phosphate  <=> ADP + D-Glycero-D-manno-heptose1-7-bisphosphate 	PA4996	PA4996		Cell Envelope Biosynthesis	Lipopolysaccharide biosynthesis	1	-1000	1000	0		2.7.-.-,2.7.1.-		
rxn03919	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	cpd00001[c] + cpd08316[c]  -> cpd00067[c] + cpd00009[c] + cpd04920[c] 	H2O + D-Glycero-D-manno-heptose1-7-bisphosphate  -> H+ + Phosphate + D-Glycero-D-manno-heptose1-phosphate 	PA0006	PA0006		Cell Envelope Biosynthesis	Lipopolysaccharide biosynthesis	0	0	1000	0		3.1.-.-		
rxn00917	GMP synthase (glutamine-hydrolysing)	cpd00001[c] + cpd00002[c] + cpd00053[c] + cpd00497[c]  -> cpd00067[c] + cpd00023[c] + cpd00012[c] + cpd00018[c] + cpd00126[c] 	H2O + ATP + L-Glutamine + XMP  -> H+ + L-Glutamate + PPi + AMP + GMP 	PA3769	PA3769		Purine and Pyrimidine Biosynthesis	Glutamate metabolism	0	0	1000	0		6.3.5.2	*JAB 02/19/14 - PA1742 removed to make PA3769 essential gene (correct IV), PA1742 (pauD) is shortened section only performing one function of PA3769 (guaA)	
rxn01275	gluconokinase	cpd00002[c] + cpd00222[c]  <=> cpd00008[c] + cpd00284[c] 	ATP + GLCN  <=> ADP + 6-Phospho-D-gluconate 	PA2321	PA2321		Alternate Carbon Metabolism	Pentose phosphate pathway	1	-1000	1000	0		2.7.1.12	*JCT 04/24/14 Duplicate gene corrected to single gene *JAB 04/05/14 - KEGG and MetaCyc seem to indicate at minimum forward direction is preferred	
rxn00758	Glycerophosphodiester phosphodiesterase (sn-Glycero-3-phosphocholine)	cpd00001[c] + cpd00507[c]  -> cpd00080[c] + cpd00098[c] 	H2O + Glycerophosphocholine  -> Glycerol-3-phosphate + Choline 	PA0347	PA0347			Glycerophospholipid metabolism	0	0	1000	0		3.1.4.2,3.1.4.46		
rxn01073	Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)	cpd00001[c] + cpd00908[c]  -> cpd00080[c] + cpd00162[c] 	H2O + Glycerophosphoethanolamine  -> Glycerol-3-phosphate + Aminoethanol 	PA0347	PA0347			Glycerophospholipid metabolism	0	0	1000	0		3.1.4.2,3.1.4.46		
rxn01466	geranyltranstransferase	cpd00113[c] + cpd00283[c]  -> cpd00012[c] + cpd00350[c] 	Isopentenyldiphosphate + Geranyldiphosphate  -> PPi + Farnesyldiphosphate 	PA4043	PA4043		Isoprenoid Biosynthesis	Terpenoid biosynthesis	0	0	1000	0		2.5.1.1,2.5.1.10,2.5.1.29		
rxn00183	L-glutamate 5-semialdehyde dehydrogenase	cpd00001[c] + cpd00003[c] + cpd00858[c]  -> cpd00004[c] + 2 cpd00067[c] + cpd00023[c] 	H2O + NAD + L-Glutamate5-semialdehyde  -> NADH + 2 H+ + L-Glutamate 	PA0782	PA0782		Amino Acid Degradation	Arginine and proline metabolism	0	0	1000	0		1.5.1.12		
rxn00086	glutathione-disulfide reductase	cpd00006[c] + 2 cpd00042[c]  <=> cpd00067[c] + cpd00005[c] + cpd00111[c] 	NADP + 2 GSH  <=> H+ + NADPH + Oxidized glutathione 	PA2025	PA2025		Glutathione Biosynthesis	Glutathione metabolism	1	-1000	1000	0		1.6.4.2,1.8.1.7		
rxn00351	glutathione synthase	cpd00002[c] + cpd00033[c] + cpd00506[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00042[c] 	ATP + Glycine + gamma-Glutamylcysteine  -> H+ + ADP + Phosphate + GSH 	PA0407	PA0407		Glutathione Biosynthesis	Glutathione metabolism	0	0	1000	0		6.3.2.3		
